Time;Ed0Gnd;Ed0305;Ed0313;Ed0320;Ed0340;Ed0380;Ed0395;Ed0PAR
10,90611;0,00004295;0,000656331;0,01107089;0,0294365;0,07859532;0,1183799;0,127987;0,000377598
10,91167;0,00004275;0,000666827;0,01119701;0,02969388;0,0792891;0,1200142;0,1300393;0,000390455
10,91722;0,0000428;0,000677234;0,01130681;0,02991212;0,079705;0,1206275;0,1306968;0,000393466
10,92278;0,00004355;0,000687755;0,01141555;0,03012407;0,08006683;0,1209858;0,1309983;0,000391332
10,92833;0,0000424;0,00069833;0,01152822;0,03036896;0,08045512;0,1214808;0,1314818;0,00039109
10,93389;0,00004235;0,000708957;0,01164681;0,03058084;0,08094634;0,1223099;0,1324138;0,000394299
10,93944;0,00004235;0,000720519;0,01178875;0,03089141;0,08187049;0,1247635;0,1355774;0,000414387
10,945;0,0000431;0,000731537;0,01190614;0,03113794;0,08237638;0,1256772;0,1366406;0,000419372
10,95056;0,00004315;0,000742114;0,01200867;0,03131507;0,08266569;0,1259095;0,1368018;0,000417684
10,95611;0,0000421;0,000752815;0,01211555;0,03150762;0,08298102;0,1262011;0,1370413;0,000415874
10,96167;0,0000418;0,000763676;0,01221759;0,03168291;0,08321534;0,1261748;0,1368394;0,000411808
10,96722;0,000042;0,00077432;0,01230675;0,03181113;0,08313937;0,1250824;0,1352326;0,000399599
10,97278;0,0000412;0,000786006;0,01242147;0,03202692;0,083514;0,1254978;0,1356302;0,000400586
10,97833;0,00004025;0,000796424;0,01249464;0,0321038;0,08309207;0,1231888;0,1324159;0,000379087
10,98389;0,00004125;0,000806616;0,01256186;0,03213969;0,08243791;0,1195662;0,1272739;0,000339013
10,98944;0,00004035;0,000820509;0,01271593;0,03247518;0,08320528;0,1208527;0,1287376;0,000343282
10,995;0,0000415;0,000837107;0,01294685;0,03302449;0,08512208;0,1262326;0,1356312;0,000383961
11,00056;0,00004195;0,000853124;0,01315057;0,03349221;0,08668695;0,1304621;0,1410311;0,000416076
11,00611;0,0000421;0,000867776;0,01332347;0,03468459;0,08758048;0,1323589;0,1433529;0,000428598
11,01167;0,0000419;0,000881895;0,0134661;0,03489817;0,08805798;0,13269;0,1435573;0,000427594
11,01722;0,0000431;0,000890972;0,01347624;0,03471989;0,08631433;0,1251009;0,1330839;0,00035161
11,02278;0,0000431;0,000911336;0,01377544;0,03548721;0,08912251;0,1331982;0,1435612;0,00041321
11,02833;0,00004325;0,000929332;0,01400992;0,0360594;0,0909984;0,1382008;0,1499574;0,000449686
11,03389;0,0000435;0,000945621;0,01419734;0,0364983;0,09225305;0,1412067;0,1536302;0,000468045
11,03944;0,0000426;0,00096028;0,01434753;0,03678456;0,09287056;0,1422504;0,154795;0,000472003
11,045;0,000042;0,000974431;0,01448026;0,03703572;0,09331298;0,1428086;0,1553494;0,000472618
11,05056;0,00004275;0,000987878;0,01459848;0,03725218;0,09369156;0,1432838;0,1558238;0,000473458
11,05611;0,0000434;0,001000591;0,01470468;0,0374391;0,0940005;0,1437261;0,1562949;0,000475144
11,06167;0,0000429;0,001011329;0,01476482;0,03746358;0,09362594;0,1420873;0,1540773;0,000460579
